Folio_denuncia,Fecha_captura,Estado,Municipio,Localidad,Lugar_conocido,Tipo_denuncia,Instrumento_utilizado,Estatus,Especie
18140191,18/09/2014,Nayarit,Bahía de Banderas,Cruz de Huanacaxtle,MERCADO LOCAL,Comercialización ilegal,Otros,Atendido,JUREL
30140192,19/09/2014,Veracruz,Pueblo Viejo,Cd. Cuauhtémoc,CHACAS,Captura ilegal,Método de pesca,Atendido,CAMARON
30140193,22/09/2014,Veracruz,Tamiahua,Las Chacas,CUCHARAS,Captura ilegal,Método de pesca,Atendido,CAMARON
27140194,22/09/2014,Tabasco,Macuspana,Chilapilla 1a. Sección,RIO CHILAPILLA CD PEMEX,Captura ilegal,Embarcación Menor,Atendido,ROBALO
27140195,22/09/2014,Tabasco,Macuspana,Chilapilla 1a. Sección,RIO CHILAPILLA CD PEMEX,Captura ilegal,Embarcación Menor,Atendido,ROBALO
30140196,23/09/2014,Veracruz,Tecolutla,Tecolutla,TECOLUTLA,Captura ilegal,Otros,Atendido,-1
30140197,25/09/2014,Veracruz,Pueblo Viejo,San Felipe,CUCHARAS,Captura ilegal,Arte de pesca,Atendido,CAMARON
6140198,26/09/2014,Colima,Tecomán,Pascuales,BOCA DE PASCUALES,Captura ilegal,Método de pesca,Atendido,ROBALO
18140199,26/09/2014,Nayarit,Bahía de Banderas,Aguamilpa,PRESA HIDROELECTRICA AGUAMILPA,Captura ilegal,Embarcación Menor,Atendido,MOJARRA
30140200,30/09/2014,Veracruz,Tamiahua,La Brecha,LA BRECHA,Captura ilegal,Arte de pesca,Atendido,CAMARON
25140201,30/09/2014,Sinaloa,Concordia,Las Iguanas,LAS IGUANAS,Captura ilegal,Embarcación Menor,Atendido,LOBINA
25140202,03/10/2014,Sinaloa,Navolato,Altata,LAGUNA CHIRICAHUETO-ENSENADA EL PABELLÓN,Captura ilegal,Método de pesca,Atendido,CAMARON
2140203,06/10/2014,Baja California,Ensenada,El Rosarito,PLAYA DEL EJIDO VALLE TRANQUILO,Captura ilegal,Arte de pesca,Atendido,LANGOSTA
2140204,08/10/2014,Baja California,Mexicali,San Felipe,SAN FELIPE,Otros,Método de pesca,Atendido,ALMEJA
6140205,23/10/2014,Colima,Tecomán,Boca de Pascuales,DESEMBOCADURA PASCUALES,Captura ilegal,Arte de pesca,Atendido,-1
14140206,27/10/2014,Jalisco,Cabo Corrientes,Pizota,CERRO BOLA HASTA PIZOTA,Captura ilegal,Otros,Atendido,-1
30140207,28/10/2014,Veracruz,Pueblo Viejo,Cd. Cuauhtémoc,PUEBLO VIEJO,Captura ilegal,Arte de pesca,Atendido,CAMARON
25140208,29/10/2014,Sinaloa,Mazatlán,El Tecomate de Siqueros,PRRSA LOS HORCONES,Captura ilegal,Embarcación Menor,Atendido,MOJARRA
14140209,04/11/2014,Jalisco,Tuxcueca,San Luis Soyatlán,SAN NICOLAS DE ACUÑA,Captura ilegal,Arte de pesca,Atendido,CHARAL
25140210,05/11/2014,Sinaloa,Escuinapa,Las Cabras,LAS CABRAS,Otros,Otros,Atendido,CAMARON
14140211,05/11/2014,Jalisco,Tizapán el Alto,Tizapán el Alto,DE TIZAPAN A MISMALOYA,Captura ilegal,Arte de pesca,Atendido,OTRAS
14140212,05/11/2014,Jalisco,Chapala,Chapala,CHAPALA,Posesión ilegal,Arte de pesca,Atendido,OTRAS
14140213,05/11/2014,Jalisco,Tizapán el Alto,Mismaloya,SAN NICOLAS-MISMALOYA,Captura ilegal,Arte de pesca,Atendido,OTRAS
14140214,05/11/2014,Jalisco,Jamay,Jamay,RINCON DE JAMAY,Captura ilegal,Arte de pesca,Sin atender,OTRAS
14140215,05/11/2014,Jalisco,Chapala,Ajijic,MERCADO MUNICIPAL,Comercialización ilegal,Otros,Atendido,OTRAS
14140216,06/11/2014,Jalisco,Colotlán,Colotlán,COLONIA TORRECILLAS,Otros,Otros,Atendido,OTRAS
14140217,06/11/2014,Jalisco,Poncitlán,Poncitlán,EJIDO DEL GUSANO,Captura ilegal,Arte de pesca,Atendido,OTRAS
14140218,06/11/2014,Jalisco,Tepatitlán de Morelos,Tepatitlán de Morelos,ELTORTUGUERO,Captura ilegal,Arte de pesca,Atendido,OTRAS
14140219,06/11/2014,Jalisco,La Huerta,Chamela,ENTRE CHAMELA Y CAREYES,Captura ilegal,Arte de pesca,Atendido,OTRAS
14140220,06/11/2014,Jalisco,Ocotlán,Ocotlán,LAGO DE CHAPALA EN BOCA DEL RIO ENTRE OCOTLAN Y JA,Captura ilegal,Arte de pesca,Atendido,OTRAS
14140221,06/11/2014,Jalisco,Teocuitatlán de Corona,Santa Rosa,PRESA DE SANTA ROSA,Captura ilegal,Arte de pesca,Atendido,OTRAS
14140222,06/11/2014,Jalisco,Valle de Guadalupe,El Saucito,PRESA EL SALTO,Captura ilegal,Arte de pesca,Atendido,OTRAS
14140223,06/11/2014,Jalisco,Valle de Guadalupe,El Águila,RANCHO EL AGUILA,Captura ilegal,Arte de pesca,Atendido,OTRAS
14140224,06/11/2014,Jalisco,Tepatitlán de Morelos,Tepatitlán de Morelos,EL TORTUGUERO,Captura ilegal,Arte de pesca,Atendido,OTRAS
14140225,06/11/2014,Jalisco,Tepatitlán de Morelos,Tepatitlán de Morelos,PRESA ELTEHUITE,Captura ilegal,Arte de pesca,Atendido,OTRAS
14140226,06/11/2014,Jalisco,La Huerta,Emiliano Zapata,BOCA DEL RIO DE CUIXMALA,Captura ilegal,Arte de pesca,Atendido,OTRAS
3140227,07/11/2014,Baja California Sur,Comondú,Ciudad Constitución,BAHIA DE SAN CARLOS,Captura ilegal,Embarcación Mayor,Atendido,OTRAS
24140228,07/11/2014,San Luis Potosí,Ciudad Valles,Ciudad Valles,PRESA LA LAJILLA - LAGUNA DEL MANTE,Captura ilegal,Otros,Atendido,LOBINA
27140229,10/11/2014,Tabasco,Paraíso,El Bellote (Miguel de la Madrid),S,Otros,Otros,Atendido,OTRAS
25140230,13/11/2014,Sinaloa,Escuinapa,Teacapán,EL QUESO,Comercialización ilegal,Vehiculo,Atendido,DORADO
3140231,18/11/2014,Baja California Sur,Comondú,Puerto San Carlos,BAHIA ALMEJAS,Captura ilegal,Embarcación Mayor,Atendido,CAMARON
