Año,Estado,Municipio,Localidad,Lugar_Conocido,Estatus
2013,Jalisco,Tízapán et Alto,Mismaloya,MISMALOYA,Atencfido
2013,Jalisco,Tuxcueca,La Cofradía,PURAGUA,Atendido
2013,Jalisco,Clhuatián,San Patricio (Melaque),LAGUNA DE BARRA DE NAVIDAD,Atendido
2013,Jalisco,Clhuatián,Barra de Navidad,BARRA DE NAVIDAD Y COUMILLA,AteiuSdo
2013,Jalisco,Tomatián,Presa Cajón de Peña (La Presal,PRESA CAJON DE PEÑAS,Atendido
2013,Jalisco,La Huerta,Pérula,PUNTA PERULA,Atendido
2013,Jalisco,La Huerta,La Manzanilla,BARRA DE NAVIDAD,AtencHdo
2013,Jalisco,Chapala,Ajijic,VILLA LUCERNA,Atendido
2013,Jalisco,Chapala,AJiflc,ALSESECA,Atendido
2013,Jalisco,Chapala,AjlJIc,LA CANACINTA,Atendido
2013,Jalisco,Chapala,Chapala,EL MALECON,AtencHdo
2013,Jalisco,Chapala,Chapala,EL MALECON,Atendido
2013,Jalisco,Ocotlén,Ocotlán,EL CANAL,Atendido
2013,Jalisco,Ocotlán,Orilla del Rio,EL RIO,Atendido
2013,Jalisco,Clhuatián,Clhuatián,BOCA DEL COCO,Atendido
2013,Jalisco,Zapopan,Zapopan,MERCADO DEL MAR,Atendido
2013,Jalisco,Tomatlán,Presa Cajón de Peña (La Presa),COOPERATIVA,Atendido
2013,Jalisco,Tomatlán,Presa Cajón de Peña (La Presa),COOPERATIVA,Atendido
2013,Jalisco,Chapala,Chapala,EL SITIO,Atendido
2013,Jalisco,Chapala,Chapala,EL SITIO,Atendido
2013,Jalisco,Chapala,Santa Cruz de la Seriedad,LA PEÑITA,Atendido
2013,Jalisco,Tuxcueca,San Nicolás de Acuña (San Nicolás),EL MALECON,Atendido
2013,Jalisco,Chapala,Chapala,PASO DE TORTUGAS,Atendido
2013,Jalisco,Tomatlán,Presa Cajón de Peña (La Presa),COOPERATIVA,Atendido
2013,Michoacán,Morelia,Umécuaro,PRESA DE UMECUARO,Atendido
2013,Mlchoacán,Zltácuaro,La Palma,LA PRESA DEL BOSQUE,Atendido
2013,Nayarit,Topic,Las Blancas (Carretones de Cerritos),CORTINA DE LA PRESA,Atendido
2013,Nayarit,Tecuala,Paso Hondo,PESCA DEL RINCÓN,Atendido
2013,Nayarit,Tecuala,Paso Hondo,PESCA DEL RINCON,Atendido
2013,Nayarit,San Bias,San Blas,KM 5 CARRETERA SALIDA A GPE VICTORIA,Atendido
2013,Oaxaca,San Pedro Pochutla,Puerto Ángel,PLAYA PRINCIPAL,Atendido
2013,Oaxaca,San Pedro Taoanateoec,Pesquería Puerto Paloma,PUNTA GALLINA A PESQUERIA,Atendido
2013,Oaxaca,San Francisco del Mar,San Francisco Viejo,PUEBLO VIEJO,Atendido
2013,Oaxaca,San Pedro TaoanateDec,Pesquería Puerto Paloma,PUNTA GALLINA,Atendido
2013,Oaxaca,San Francisco del Mar,San Francisco Viejo,ESTERO LOS OTATES,Atendido
2013,Oaxaca,San Pedro Mixtepec -Dto. 22 -,Puerto Escondido,PLAYA PUERTO ANGELITO,Atendido
2013,Oaxaca,Santa Marla Huatulco,Tangolunda,BAHIA TANGOLUNDA,Atendido
2013,Oaxaca,San Pedro Mixtepec -Oto. 22 -,San Pedro Mixtepec -Dto. 22-,PUERTO ESCONDIDO,Atendido
2013,Quintana Roo,Benito Juárez,Cancún,TIANGUIS LOS LUNES.FRENTE A BODEGA AURRERA CORALE,Atendido
2013,Quintana Roo,Benito Juárez,Cancón,PLAYA DEL NIÑO,Atendido
2013,Quintana Roo,Isla Mujeres,Sac-Bajo,PLAYA TIBURON Y ZONA DE PLAYA,AtemSdo
2013,Quintana Roo,Benito Juárez,Cancón,PLAYA DEL NIÑO EN PUERTO JUAREZ,Atendido
2013,San Luis Potosf,nuil,nuil,SI,Atendido
2013,Sinaloa,Ahorne,Topolobampo,PAREDONES,Atendido
2013,Sinaloa,Mazatlán,.Mazatlán,PLAYA NORTE PASEO CLAUSSEN,Atendido
2013,Sinaloa,Navoiato,El Castillo,LAS TIJERAS,Atendido
2013,Sinaloa,Escuinapa,Teacapán,BARRA DE TEACAPÁN,Atendido
2013,Sinaloa,Escuinapa,La Estacada,EN EL CANAL,Atendido
2013,Sinaloa,Mazatlán,Mazatlán,PLAYA NORTE PASEO CLAUSSEN,Atendido
2013,Sinaloa,El Fuerte,El Fuerte,"PRESA ""JOSEFA ORTIZ DE DOMINGUEZ "" EL SABINO""",Atendido
2013,Sinaloa,El Fuerte,El Fuerte,"PRESA ""JOSEFA ORTIZ DE DOMINGUEZ "" EL SABINO”",Atendido
2013,Sinaloa,Escuinapa,Teacapán,PLAYA ANGEL,Atendido
2013,Sinaloa,Escuinapa,Teacapán,QUESO,AtencSdo
2013,Sinaloa,Cullacán,Cullacán Rosales,COL. INFONAVIT BARRANCOS,Atendido
2013,Sinaloa,Escuinapa,Teacapán,TEACAPAN,Atendido
2013,Sinaloa,Ahorne,Bacorehuis,BAHIA DE BACOREHUIS,Atendido
2013,Sinaloa,Escuinapa,Teacapán,PUNTA DE GRANO,Atendido
2013,Sinaloa,Rosarlo,Cha metía,EL PUYEQUE,Atendido
2013,Sinaloa,Mazatlán,Mazatlán,PTA. CAMARON A OLAS ALTAS,Atendido
2013,Sinaloa,Navoiato,Altate,BAHÍA ENSENADA PABELLON,Atendido
2013,Sinaloa,Esculnapa,Teacapén,BARRAS DE TEACAPAN,Atendido
2013,Sinaloa,Culiacán,Cosplta,COSPITA CULIACAN SINALOA,Atendido
2013,Sinaloa,Navolato,Altata,BAHIA,Atendido
